layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,36,24,False,native,24,0.943571,0.934922,0.952996,0.018074,0.938278,0.914019,0.963422,0.867434,0.963856,24,0.970966,0.966365,0.975924,0.009559,0.967974,0.955078,0.98137,0.929011,0.981596,0.001381,24,0.001202,24,0.882812,24,117.5,24,,0,0.095563,24
0,37,24,False,native,24,0.941233,0.933759,0.951709,0.017949,0.937598,0.9194,0.962553,0.864556,0.964871,24,0.969727,0.965745,0.975248,0.009503,0.967611,0.958008,0.980919,0.927359,0.982121,0.001404,24,0.001598,24,0.900391,24,116.5,24,,0,0.095602,24
0,38,24,False,native,24,0.940386,0.932181,0.952311,0.02013,0.937074,0.92509,0.962409,0.862209,0.963277,24,0.969276,0.9649,0.975567,0.010667,0.967329,0.961088,0.980844,0.926007,0.981295,0.0,24,0.001499,24,0.919922,24,118.5,24,,0,0.095623,24
0,39,24,False,native,24,0.938476,0.928299,0.949737,0.021439,0.934234,0.924534,0.957935,0.852104,0.961397,24,0.968262,0.962816,0.974215,0.011399,0.965783,0.960787,0.978516,0.920147,0.980319,0.000742,24,0.001362,24,0.917969,24,120.5,24,,0,0.095616,24
0,40,24,False,native,24,0.940599,0.928682,0.947562,0.01888,0.934871,0.926623,0.960386,0.848761,0.963132,24,0.969389,0.963022,0.973069,0.010047,0.966108,0.961914,0.979793,0.918194,0.98122,0.001027,24,0.001469,24,0.888672,24,111.0,24,0.998782,24,0.095583,24
0,41,24,False,native,24,0.940737,0.929246,0.944931,0.015685,0.932974,0.921894,0.957359,0.845045,0.958655,24,0.969464,0.963323,0.97168,0.008357,0.965088,0.95936,0.978215,0.916016,0.978891,0.000885,24,0.001747,24,0.900391,24,116.0,24,,0,0.09549,24
0,42,24,False,native,24,0.941586,0.929462,0.945636,0.016174,0.93208,0.914707,0.956496,0.842109,0.962553,24,0.969914,0.963435,0.972055,0.00862,0.964587,0.955454,0.977764,0.914288,0.980919,0.001135,24,0.001724,24,0.898438,24,114.5,24,,0,0.095285,24
0,43,24,False,native,24,0.938547,0.931694,0.944038,0.012344,0.931343,0.912919,0.957503,0.836898,0.961108,24,0.968299,0.964637,0.97121,0.006573,0.964174,0.954477,0.97829,0.911208,0.980168,0.00045,24,0.001392,24,0.912109,24,115.0,24,,0,0.094927,24
0,44,24,False,native,24,0.940172,0.92803,0.944635,0.016605,0.929509,0.912644,0.956065,0.829828,0.957503,24,0.969163,0.962665,0.971529,0.008864,0.96316,0.954327,0.977539,0.907001,0.97829,0.001169,24,0.001488,24,0.916016,24,108.5,24,,0,0.09442,24
0,45,24,False,native,24,0.939115,0.92853,0.943783,0.015254,0.928633,0.915258,0.953052,0.826063,0.955921,24,0.9686,0.962928,0.971079,0.008151,0.962678,0.955754,0.975962,0.904748,0.977464,0.001492,24,0.001408,24,0.902344,24,112.5,24,,0,0.093636,24
