strategy,layer,median_reuse,median_overlap_k,median_jaccard,n
temporal,21,1.4328358173370361,0.6041666865348816,0.43283581733703613,108
temporal,22,1.5867888927459717,0.7395833432674408,0.5867889225482941,108
temporal,23,1.600049376487732,0.7500000298023224,0.6000494062900543,108
temporal,24,1.548387050628662,0.7083333134651184,0.5483871102333069,108
temporal,25,1.507853388786316,0.6736111044883728,0.5078533887863159,108
temporal,26,1.4257426261901855,0.5972222089767456,0.42574256658554077,108
temporal,27,1.447236180305481,0.6180555820465088,0.44723618030548096,108
temporal,28,1.447272777557373,0.6180555522441864,0.44727273285388947,108
temporal,29,1.4582372307777405,0.628472238779068,0.4582372009754181,108
vertical,0,1.6089385747909546,0.756944477558136,0.6089385747909546,108
vertical,1,1.4152419567108154,0.5868055522441864,0.41524195671081543,108
vertical,2,1.3521126508712769,0.5208333134651184,0.35211268067359924,108
vertical,3,1.447236180305481,0.6180555820465088,0.44723618030548096,108
vertical,4,1.4295004606246948,0.6006944477558136,0.42950044572353363,108
vertical,5,1.5238522291183472,0.6875000298023224,0.5238521695137024,108
vertical,6,1.454545497894287,0.625,0.4545454680919647,108
vertical,7,1.4845755696296692,0.652777761220932,0.4845755249261856,108
vertical,8,1.617977499961853,0.7638888955116272,0.617977499961853,108
vertical,9,1.4961140155792236,0.6631944477558136,0.49611398577690125,108
vertical,10,1.5000407099723816,0.6666666567325592,0.5000406801700592,108
vertical,11,1.4328358173370361,0.6041666865348816,0.43283581733703613,108
vertical,12,1.4693877696990967,0.6388888955116272,0.4693877696990967,108
vertical,13,1.450890839099884,0.6215277910232544,0.45089082419872284,108
vertical,14,1.51578950881958,0.6805555820465088,0.5157894492149353,108
vertical,15,1.4582372307777405,0.628472238779068,0.4582372009754181,108
vertical,16,1.5278622508049011,0.690972238779068,0.5278622210025787,108
vertical,17,1.4619289636611938,0.631944477558136,0.46192893385887146,108
vertical,18,1.3489535450935364,0.5173611044883728,0.3489535301923752,108
vertical,19,1.3714286088943481,0.5416666865348816,0.37142857909202576,108
vertical,20,1.3333333730697632,0.5,0.3333333432674408,108
vertical,21,1.3521126508712769,0.5208333134651184,0.35211268067359924,108
vertical,22,1.3681787848472595,0.5381944477558136,0.36817874014377594,108
vertical,23,1.364928960800171,0.5347222089767456,0.3649289011955261,108
vertical,24,1.3090908527374268,0.472222238779068,0.30909091234207153,108
vertical,25,1.3521126508712769,0.5208333134651184,0.35211268067359924,108
vertical,26,1.387959897518158,0.5590277910232544,0.38795986771583557,108
vertical,27,1.384615421295166,0.5555555820465088,0.38461539149284363,108
vertical,28,1.4769231081008911,0.6458333134651184,0.4769230782985687,108
vertical,29,1.3681787848472595,0.5381944477558136,0.36817874014377594,108
