timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
5,0.9,fp8_e4m3,0.1,7200,False,simulated,7200,0.988201,0.98228,0.991473,0.009193,0.985126,0.973171,0.99356,0.794191,0.997749,7200,0.994066,0.991061,0.995718,0.004657,0.992476,0.986403,0.99677,0.885291,0.998873,0.001686,7200,0.001686,7200,0.292969,7200,110.0,7200,,0,1e-06,7200
5,0.9,nvfp4,0.1,7200,False,native,7200,0.972002,0.961975,0.979627,0.017652,0.968262,0.94862,0.984052,0.801963,0.992814,7200,0.985802,0.980619,0.989709,0.00909,0.983796,0.973633,0.991962,0.890099,0.996394,0.001686,7200,0.001701,7200,0.601562,7200,109.0,7200,,0,0.106865,7200
5,0.9,nvfp4_sim,0.1,7200,False,simulated,7200,0.972002,0.96212,0.97948,0.01736,0.96826,0.94862,0.984052,0.797947,0.993262,7200,0.985802,0.980694,0.989633,0.008939,0.983794,0.973633,0.991962,0.88762,0.99662,0.001686,7200,0.001701,7200,0.601562,7200,110.0,7200,,0,0.106701,7200
5,0.95,fp8_e4m3,0.05,7200,False,simulated,7200,0.981542,0.97244,0.986866,0.014425,0.977079,0.957935,0.990133,0.757592,0.997899,7200,0.990685,0.986028,0.993389,0.007362,0.988339,0.978516,0.995042,0.862079,0.998948,0.002579,7200,0.002594,7200,0.234375,7200,99.0,7200,,0,1e-06,7200
5,0.95,nvfp4,0.05,7200,False,native,7200,0.959664,0.945346,0.969814,0.024468,0.954624,0.927878,0.97566,0.748818,0.992814,7200,0.979417,0.971905,0.984675,0.01277,0.976646,0.96259,0.98768,0.85637,0.996394,0.002579,7200,0.002594,7200,0.476562,7200,99.0,7200,,0,0.106865,7200
5,0.95,nvfp4_sim,0.05,7200,False,simulated,7200,0.959664,0.94563,0.969814,0.024184,0.954658,0.928158,0.97566,0.748129,0.992814,7200,0.979417,0.972055,0.984675,0.01262,0.976664,0.96274,0.98768,0.855919,0.996394,0.002579,7200,0.002579,7200,0.476562,7200,99.0,7200,,0,0.106701,7200
10,0.5,fp8_e4m3,0.5,7200,False,simulated,7200,0.995919,0.994947,0.996618,0.001671,0.99528,0.992851,0.997196,0.951405,0.998628,7200,0.997955,0.997467,0.998306,0.000839,0.997632,0.996413,0.998596,0.975098,0.999313,0.000629,7200,0.000629,7200,0.464844,7200,96.0,7200,0.999967,7200,1e-06,7200
10,0.5,nvfp4,0.5,7200,False,native,7200,0.988591,0.985248,0.990826,0.005578,0.987192,0.980239,0.992372,0.948447,0.995524,7200,0.994263,0.992569,0.995392,0.002823,0.993547,0.990021,0.996172,0.973541,0.997757,0.000629,7200,0.000629,7200,0.863281,7200,95.0,7200,0.999792,7200,0.106892,7200
10,0.5,nvfp4_sim,0.5,7200,False,simulated,7200,0.988561,0.985217,0.990826,0.005608,0.987171,0.980149,0.992369,0.948215,0.995554,7200,0.994247,0.992554,0.995392,0.002838,0.993536,0.989975,0.99617,0.973419,0.997772,0.000629,7200,0.000633,7200,0.863281,7200,95.0,7200,0.999791,7200,0.10672,7200
10,0.7,fp8_e4m3,0.3,7200,False,simulated,7200,0.993981,0.992319,0.995091,0.002773,0.992914,0.988751,0.995899,0.92674,0.998175,7200,0.996982,0.996144,0.99754,0.001395,0.99644,0.994344,0.997945,0.961977,0.999087,0.000767,7200,0.000771,7200,0.421875,7200,110.0,7200,0.999967,7200,1e-06,7200
10,0.7,nvfp4,0.3,7200,False,native,7200,0.984296,0.979514,0.987598,0.008084,0.982091,0.970954,0.989709,0.907259,0.994284,7200,0.992086,0.989651,0.99376,0.004109,0.990946,0.985263,0.994828,0.951375,0.997134,0.000767,7200,0.000778,7200,0.796875,7200,110.0,7200,0.999792,7200,0.106892,7200
10,0.7,nvfp4_sim,0.3,7200,False,simulated,7200,0.984246,0.979464,0.987598,0.008133,0.982065,0.970954,0.989704,0.907121,0.994587,7200,0.992061,0.989626,0.99376,0.004135,0.990933,0.985263,0.994825,0.951299,0.997286,0.000767,7200,0.000771,7200,0.796875,7200,110.0,7200,0.999791,7200,0.10672,7200
10,0.8,fp8_e4m3,0.2,7200,False,simulated,7200,0.992444,0.989662,0.994026,0.004363,0.99076,0.984421,0.995006,0.897524,0.997349,7200,0.996208,0.994804,0.997004,0.0022,0.995349,0.99215,0.997497,0.945995,0.998673,0.000992,7200,0.000999,7200,0.363281,7200,114.0,7200,0.999967,7200,1e-06,7200
10,0.8,nvfp4,0.2,7200,False,native,7200,0.981216,0.974761,0.985019,0.010258,0.978223,0.964609,0.987413,0.878464,0.99282,7200,0.990519,0.987219,0.992453,0.005234,0.988963,0.981986,0.993667,0.9353,0.996397,0.000992,7200,0.000992,7200,0.714844,7200,114.0,7200,0.999792,7200,0.106892,7200
10,0.8,nvfp4_sim,0.2,7200,False,simulated,7200,0.981216,0.974761,0.985019,0.010258,0.978198,0.964602,0.987413,0.877728,0.992594,7200,0.990519,0.987219,0.992453,0.005234,0.98895,0.981982,0.993667,0.934883,0.996283,0.000992,7200,0.000992,7200,0.714844,7200,114.0,7200,0.999791,7200,0.10672,7200
10,0.9,fp8_e4m3,0.1,7200,False,simulated,7200,0.988944,0.983313,0.99192,0.008606,0.985882,0.974781,0.993859,0.850817,0.997749,7200,0.994441,0.991587,0.995944,0.004357,0.992863,0.98723,0.99692,0.919396,0.998873,0.00177,7200,0.001751,7200,0.277344,7200,106.0,7200,0.999967,7200,1e-06,7200
