timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
4,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.970178,0.959484,0.979369,0.019885,0.966517,0.943457,0.984644,0.828195,0.991324,720,0.984863,0.979323,0.989577,0.010254,0.982868,0.970906,0.992263,0.906025,0.995643,0.001587,720,0.001637,720,0.632812,720,110.0,720,,0,0.106509,720
5,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992143,0.988987,0.9938,0.004813,0.990361,0.983876,0.995006,0.935905,0.996668,720,0.996056,0.994463,0.99689,0.002427,0.995148,0.991873,0.997497,0.966892,0.998331,0.000992,720,0.000984,720,0.375,720,118.0,720,,0,1e-06,720
5,0.8,nvfp4,0.2,720,False,native,720,0.980323,0.972748,0.984496,0.011748,0.97674,0.961584,0.987345,0.894525,0.992293,720,0.990064,0.986186,0.992188,0.006002,0.988193,0.980416,0.993632,0.944326,0.996132,0.000992,720,0.000996,720,0.736328,720,115.0,720,,0,0.106465,720
5,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980323,0.972601,0.984496,0.011895,0.976697,0.96154,0.987338,0.894117,0.991616,720,0.990064,0.98611,0.992188,0.006077,0.988172,0.980393,0.993629,0.944099,0.99579,0.000992,720,0.000992,720,0.738281,720,116.0,720,,0,0.106278,720
5,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.987756,0.981837,0.991622,0.009785,0.984925,0.973391,0.993859,0.868875,0.99685,720,0.99384,0.990835,0.995793,0.004958,0.992374,0.986516,0.99692,0.929838,0.998422,0.001625,720,0.001652,720,0.300781,720,111.0,720,,0,1e-06,720
5,0.9,nvfp4,0.1,720,False,native,720,0.970543,0.959773,0.97948,0.019707,0.966664,0.943641,0.985103,0.822189,0.991473,720,0.985051,0.979473,0.989633,0.01016,0.982945,0.971004,0.992495,0.902419,0.995718,0.001625,720,0.00164,720,0.628906,720,109.0,720,,0,0.106465,720
5,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.970397,0.959809,0.979332,0.019524,0.966674,0.943925,0.985088,0.821316,0.991473,720,0.984976,0.979492,0.989558,0.010066,0.982951,0.971154,0.992488,0.901893,0.995718,0.001625,720,0.001602,720,0.625,720,110.0,720,,0,0.106278,720
6,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992256,0.989212,0.994101,0.004889,0.990544,0.983899,0.995157,0.954054,0.997198,720,0.996113,0.994577,0.997042,0.002465,0.995241,0.991884,0.997573,0.976487,0.998597,0.000992,720,0.000956,720,0.371094,720,116.0,720,,0,1e-06,720
6,0.8,nvfp4,0.2,720,False,native,720,0.980472,0.973191,0.984515,0.011324,0.976814,0.960883,0.987196,0.890721,0.992293,720,0.99014,0.986413,0.992197,0.005784,0.988232,0.980052,0.993557,0.942203,0.996132,0.000992,720,0.000965,720,0.734375,720,119.0,720,,0,0.106396,720
6,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980397,0.972988,0.984589,0.011601,0.976785,0.961007,0.987113,0.890789,0.992368,720,0.990102,0.986309,0.992235,0.005926,0.988217,0.980116,0.993515,0.942241,0.99617,0.000992,720,0.000984,720,0.740234,720,117.5,720,,0,0.106221,720
