timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
5,0.8,nvfp4,0.2,720,False,native,720,0.982109,0.975094,0.985692,0.010598,0.978548,0.965392,0.988462,0.895342,0.992444,720,0.990974,0.98739,0.992794,0.005404,0.989121,0.982392,0.994198,0.944782,0.996208,0.001181,720,0.001173,720,0.703125,720,0.0,720,,0,0.106465,720
5,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982072,0.974946,0.985766,0.01082,0.978507,0.96562,0.988462,0.895138,0.992594,720,0.990955,0.987314,0.992832,0.005518,0.989101,0.982509,0.994198,0.944668,0.996283,0.001181,720,0.001164,720,0.707031,720,0.0,720,,0,0.106278,720
5,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993113,0.989984,0.994905,0.004921,0.991557,0.985221,0.996251,0.913606,0.998649,720,0.996544,0.994967,0.997446,0.002479,0.99575,0.992556,0.998122,0.954853,0.999324,0.001687,720,0.001696,720,0.175781,720,0.0,720,,0,1e-06,720
5,0.9,nvfp4,0.1,720,False,native,720,0.973976,0.964726,0.981247,0.016521,0.970169,0.951463,0.986569,0.822813,0.992665,720,0.986816,0.982046,0.990535,0.008489,0.984771,0.975128,0.993239,0.902794,0.996319,0.001687,720,0.001664,720,0.574219,720,0.0,720,,0,0.106465,720
5,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.974049,0.964581,0.981395,0.016814,0.970133,0.951334,0.986569,0.822563,0.992814,720,0.986854,0.981971,0.99061,0.008639,0.984752,0.97506,0.993239,0.902644,0.996394,0.001687,720,0.001676,720,0.578125,720,0.0,720,,0,0.106278,720
6,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995082,0.993574,0.996064,0.00249,0.994203,0.990556,0.996819,0.975427,0.998106,720,0.997535,0.996776,0.998028,0.001252,0.99709,0.995256,0.998407,0.987561,0.999052,0.001168,720,0.001174,720,0.246094,720,0.0,720,,0,1e-06,720
6,0.8,nvfp4,0.2,720,False,native,720,0.982147,0.974983,0.986215,0.011232,0.978607,0.965451,0.988237,0.891739,0.992293,720,0.990993,0.987333,0.99306,0.005727,0.989151,0.982422,0.994084,0.942772,0.996132,0.001168,720,0.001166,720,0.707031,720,0.0,720,,0,0.106396,720
6,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982109,0.975057,0.986159,0.011102,0.978571,0.965451,0.988177,0.891332,0.992293,720,0.990974,0.987371,0.993031,0.00566,0.989133,0.982422,0.994053,0.942544,0.996132,0.001168,720,0.00116,720,0.703125,720,0.0,720,,0,0.106221,720
6,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993187,0.990282,0.994905,0.004623,0.991643,0.985665,0.996116,0.913056,0.998499,720,0.996582,0.995117,0.997446,0.002329,0.995793,0.992781,0.998054,0.954552,0.999249,0.001675,720,0.001663,720,0.175781,720,0.0,720,,0,1e-06,720
6,0.9,nvfp4,0.1,720,False,native,720,0.974635,0.96498,0.981542,0.016563,0.970459,0.951434,0.986436,0.820569,0.992516,720,0.987154,0.982178,0.990685,0.008507,0.984921,0.975113,0.993172,0.901442,0.996244,0.001675,720,0.001676,720,0.5625,720,0.0,720,,0,0.106396,720
6,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.974708,0.96498,0.98169,0.01671,0.970426,0.951048,0.986436,0.820693,0.992665,720,0.987192,0.982178,0.99076,0.008582,0.984903,0.97491,0.993172,0.901517,0.996319,0.001675,720,0.001681,720,0.5625,720,0.0,720,,0,0.106221,720
7,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995082,0.993649,0.996064,0.002415,0.994249,0.990939,0.996744,0.975131,0.998257,720,0.997535,0.996814,0.998028,0.001214,0.997113,0.995449,0.998369,0.987409,0.999128,0.001165,720,0.001173,720,0.246094,720,0.0,720,,0,1e-06,720
7,0.8,nvfp4,0.2,720,False,native,720,0.982221,0.974983,0.986159,0.011176,0.978726,0.96496,0.98817,0.89235,0.993272,720,0.991031,0.987333,0.993031,0.005698,0.989212,0.982168,0.99405,0.943113,0.996625,0.001165,720,0.001162,720,0.703125,720,0.0,720,,0,0.106279,720
7,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982184,0.974891,0.986215,0.011325,0.978671,0.964521,0.988245,0.89235,0.993197,720,0.991012,0.987286,0.99306,0.005774,0.989184,0.98194,0.994088,0.943113,0.996587,0.001165,720,0.001171,720,0.705078,720,0.0,720,,0,0.106101,720
7,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993113,0.990282,0.994905,0.004623,0.991653,0.985976,0.996251,0.914982,0.998349,720,0.996544,0.995117,0.997446,0.002329,0.995798,0.992939,0.998122,0.955604,0.999174,0.001698,720,0.00169,720,0.175781,720,0.0,720,,0,1e-06,720
