layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,27,24,False,native,24,0.965415,0.957936,0.967321,0.009384,0.963905,0.948782,0.974983,0.946337,0.987413,24,0.982403,0.978516,0.983389,0.004873,0.981591,0.973718,0.987333,0.972429,0.993667,0.001128,24,0.001169,24,0.943359,24,0.0,24,,0,0.095179,24
0,28,24,False,native,24,0.965341,0.960686,0.968514,0.007829,0.964628,0.952317,0.974835,0.944113,0.987113,24,0.982365,0.979947,0.984005,0.004058,0.981967,0.975576,0.987257,0.971253,0.993515,0.001208,24,0.001058,24,0.931641,24,0.0,24,,0,0.095225,24
0,29,24,False,native,24,0.965195,0.959682,0.969194,0.009512,0.96406,0.953258,0.972988,0.941822,0.985467,24,0.982289,0.979426,0.984356,0.00493,0.981673,0.976069,0.986309,0.970039,0.992681,0.000991,24,0.001061,24,0.921875,24,0.0,24,,0,0.095277,24
0,30,24,False,native,24,0.965379,0.959463,0.969139,0.009676,0.963747,0.952607,0.97166,0.94175,0.984421,24,0.982384,0.979312,0.984328,0.005016,0.981512,0.975728,0.985627,0.970002,0.99215,0.001114,24,0.001162,24,0.917969,24,0.0,24,0.999249,24,0.095326,24
0,31,24,False,native,24,0.963551,0.958099,0.968423,0.010324,0.962704,0.952101,0.97085,0.938467,0.983004,24,0.981436,0.978601,0.983958,0.005357,0.980968,0.975463,0.985209,0.968257,0.991429,0.00118,24,0.001125,24,0.933594,24,0.0,24,,0,0.095364,24
0,32,24,False,native,24,0.963443,0.957735,0.968018,0.010283,0.962173,0.952173,0.970703,0.935977,0.982333,24,0.981379,0.978411,0.983749,0.005338,0.98069,0.975501,0.985133,0.96693,0.991088,0.001127,24,0.001089,24,0.923828,24,0.0,24,,0,0.095386,24
0,33,24,False,native,24,0.962164,0.957299,0.96745,0.010151,0.961532,0.952824,0.970408,0.933918,0.982556,24,0.980715,0.978184,0.983455,0.005272,0.980355,0.975842,0.984982,0.96583,0.991201,0.001128,24,0.001181,24,0.927734,24,0.0,24,,0,0.095425,24
0,34,24,False,native,24,0.962416,0.956138,0.967395,0.011257,0.961177,0.955865,0.969819,0.930802,0.981737,24,0.980848,0.977577,0.983427,0.00585,0.980169,0.977435,0.984678,0.964161,0.990784,0.001056,24,0.001081,24,0.935547,24,0.0,24,,0,0.095466,24
0,35,24,False,native,24,0.962891,0.957499,0.966477,0.008978,0.960934,0.954488,0.971292,0.929531,0.97958,24,0.981095,0.978288,0.982953,0.004665,0.980042,0.976714,0.985437,0.963478,0.989684,0.001091,24,0.001102,24,0.925781,24,0.0,24,,0,0.095527,24
0,36,24,False,native,24,0.962527,0.957354,0.964993,0.00764,0.96041,0.954416,0.971292,0.928543,0.977946,24,0.980905,0.978212,0.982185,0.003973,0.97977,0.976676,0.985437,0.962948,0.98885,0.00118,24,0.001061,24,0.9375,24,0.0,24,,0,0.095563,24
0,37,24,False,native,24,0.961469,0.956809,0.964499,0.00769,0.959479,0.954198,0.970923,0.925866,0.974983,24,0.980355,0.977928,0.981929,0.004001,0.979284,0.976562,0.985247,0.961506,0.987333,0.001192,24,0.001184,24,0.9375,24,0.0,24,,0,0.095602,24
0,38,24,False,native,24,0.963621,0.956356,0.964499,0.008144,0.959899,0.953185,0.970482,0.926288,0.975945,24,0.981474,0.977691,0.981929,0.004238,0.979502,0.976032,0.98502,0.961734,0.987826,0.001023,24,0.001123,24,0.9375,24,0.0,24,,0,0.095623,24
0,39,24,False,native,24,0.963,0.95652,0.964664,0.008144,0.959003,0.951884,0.968569,0.924601,0.973948,24,0.981151,0.977776,0.982014,0.004238,0.979034,0.975349,0.984034,0.960824,0.986802,0.001086,24,0.001117,24,0.933594,24,0.0,24,,0,0.095616,24
0,40,24,False,native,24,0.962927,0.954253,0.964335,0.010082,0.958557,0.952101,0.968349,0.923338,0.973727,24,0.981113,0.976591,0.981844,0.005253,0.9788,0.975463,0.98392,0.960141,0.986688,0.001118,24,0.001139,24,0.9375,24,0.0,24,0.998775,24,0.095583,24
0,41,24,False,native,24,0.961358,0.95489,0.963128,0.008239,0.957051,0.95008,0.966587,0.920816,0.970555,24,0.980298,0.976923,0.981218,0.004295,0.978013,0.974401,0.98301,0.958776,0.985058,0.001165,24,0.001096,24,0.9375,24,0.0,24,,0,0.09549,24
