strategy,layer,median_reuse,median_overlap_k,median_jaccard,n
temporal,22,1.5750000476837158,0.7301587462425232,0.574999988079071,36
temporal,23,1.594936728477478,0.7460317611694336,0.594936728477478,36
temporal,24,1.5555555820465088,0.7142857313156128,0.5555555820465088,36
temporal,25,1.5002126097679138,0.6666666865348816,0.500212624669075,36
temporal,26,1.377090334892273,0.5476190745830536,0.37709030508995056,36
temporal,27,1.448467195034027,0.6190476417541504,0.4484672397375107,36
temporal,28,1.4442570805549622,0.6150793731212616,0.44425714015960693,36
temporal,29,1.4318181276321411,0.60317462682724,0.4318181872367859,36
vertical,0,1.5750000476837158,0.7301587462425232,0.574999988079071,36
vertical,1,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
vertical,2,1.3926478028297424,0.563492089509964,0.39264777302742004,36
vertical,3,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
vertical,4,1.4653143882751465,0.6349206566810608,0.4653144031763077,36
vertical,5,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
vertical,6,1.4737346172332764,0.642857164144516,0.47373461723327637,36
vertical,7,1.465116262435913,0.6349206566810608,0.4651162922382355,36
vertical,8,1.6578947305679321,0.7936508655548096,0.6578947305679321,36
vertical,9,1.5,0.6666666865348816,0.5,36
vertical,10,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
vertical,11,1.4737346172332764,0.642857164144516,0.47373461723327637,36
vertical,12,1.4694254398345947,0.6388889253139496,0.4694254547357559,36
vertical,13,1.465116262435913,0.6349206566810608,0.4651162922382355,36
vertical,14,1.509036123752594,0.6746031939983368,0.5090361535549164,36
vertical,15,1.4911764860153198,0.6587301790714264,0.49117647111415863,36
vertical,16,1.5,0.6666666865348816,0.5,36
vertical,17,1.465116262435913,0.6349206566810608,0.4651162922382355,36
vertical,18,1.3658835887908936,0.5357142984867096,0.36588358879089355,36
vertical,19,1.4359325766563416,0.6071428954601288,0.43593260645866394,36
vertical,20,1.4078651666641235,0.5793651044368744,0.40786516666412354,36
vertical,21,1.392307698726654,0.563492089509964,0.39230769872665405,36
vertical,22,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
vertical,23,1.392307698726654,0.563492089509964,0.39230769872665405,36
vertical,24,1.377090334892273,0.5476190745830536,0.37709030508995056,36
vertical,25,1.399999976158142,0.5714285969734192,0.4000000059604645,36
vertical,26,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
vertical,27,1.4318181276321411,0.60317462682724,0.4318181872367859,36
vertical,28,1.4737346172332764,0.642857164144516,0.47373461723327637,36
vertical,29,1.4078651666641235,0.5793651044368744,0.40786516666412354,36
