arm,cfg_branch,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R3,positive,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.975220713702797,0.01579849560036173,0.9426486683692084,0.9874549278846154,0.9997666326936313,0.0025482177734375,0.55859375,0.65234375,0.975220713702797,1.0,0.0,1,0,0.0016785790207867772,0.0028792887306284126,0.17794473469257355,0.9869438111782074,0.17773617058992386,4.1581690311431885e-05,0.000452674925327301,0.0008291892707347869,0.001369561869409237,0.00983814590512219,0.5662962962962963,0.0008406788110733032,20.217523741265005,20.217523741265005,0.65,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,positive,0.95,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.9645808736717828,0.01968682366478791,0.9273201100332995,0.9819711538461539,0.9997666326936313,0.0018310546875,0.4296875,0.46875,0.9645808736717828,1.0,0.0,1,0,0.002412888544206732,0.0026543877430565336,0.2765210419893265,0.9685751497745514,0.27634379267692566,7.458031177520752e-05,0.0008064247667789459,0.0014147639274597168,0.0015138744371650866,0.01086043612813153,0.5637962962962964,0.0011478103697299957,15.39025974025974,15.39025974025974,0.6557407407407407,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R4,negative,0.8,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.994402843960366,0.004973955932212837,0.9809180377131697,0.9971935679611651,0.9999889745242605,0.001129150390625,0.27734375,0.2890625,0.9975757575757576,0.9798025303149754,103.0,252,0,0.0010884809151636746,0.0007200846423125224,0.10637296736240387,0.995276004076004,0.10638872161507607,-5.569774657487869e-06,0.00010504946112632751,0.0001361757516860962,0.0005433863473287704,0.0027904375688812964,0.4299074074074074,0.00029966235160827637,-53.80152161190536,53.80152161190536,0.6965740740740741,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,negative,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.9907282787498131,0.00862305759135018,0.9692307692307691,0.9953425480769231,0.9999889745242605,0.000946044921875,0.234375,0.2421875,0.9968499212480312,0.9728788440163023,93.0,247,0,0.001667795173045388,0.000895887791366263,0.17913687974214554,0.9866740107536316,0.1793055236339569,-1.6940757632255554e-06,0.00022542104125022888,0.0004191651940345764,0.0007130176424546865,0.003339868935346939,0.48777777777777775,0.00033263443037867546,-196.35156679494227,196.35156679494227,0.6716203703703704,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,negative,0.95,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.9847920083494857,0.01476578909532722,0.9527651459586328,0.9923377403846154,0.9999889745242605,0.0007781982421875,0.1953125,0.19921875,0.995502923099985,0.9611078373600471,81.0,246,0,0.0024341969873444883,0.0010241604465071204,0.27818363904953003,0.9679301083087921,0.2781998813152313,2.0267441868782043e-05,0.00047594495117664337,0.0010058939456939696,0.0008971322805597167,0.0044673577413602995,0.5422222222222223,0.0005212277173995972,25.71748920136017,25.71748920136017,0.6502314814814815,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,positive,0.8,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.9944782723800158,0.0048239589588102705,0.9822583070215005,0.9972314927184466,0.9999890551613255,0.0011138916015625,0.2734375,0.28515625,0.9975757575757576,0.9803229440480661,102.0,249,0,0.001102686771916826,0.0007192564767039511,0.10556242242455482,0.9953520596027374,0.10559626668691635,-7.791677489876747e-06,0.00010404083877801895,0.00011754333972930908,0.0005399363728335238,0.002767097913423555,0.41550925925925924,0.0002931058406829834,-37.61780965187509,37.61780965187509,0.7009722222222222,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,positive,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.9907282787498131,0.008475016129732116,0.970542520908889,0.9953425480769231,0.9999890551613255,0.000946044921875,0.234375,0.2421875,0.9968499212480312,0.9731712739939228,93.0,245,0,0.0016785790207867772,0.0008967792493699903,0.17791355401277542,0.9869274199008942,0.17773617058992386,-4.731118679046631e-06,0.0002169748768210411,0.0003481253981590271,0.0006963384580145591,0.0032730385559040405,0.4718981481481481,0.00032701343297958374,-69.11968503937008,69.11968503937008,0.6712037037037037,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,positive,0.95,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,21600,0.9847920083494857,0.01476139150953859,0.9533382245047688,0.9923377403846154,0.9999890551613255,0.0007781982421875,0.1953125,0.19921875,0.995502923099985,0.9608189718662542,81.0,241,0,0.002412888544206732,0.0010196653180768434,0.2762015610933304,0.9685837626457214,0.27634379267692566,9.86829400062561e-06,0.0004575587809085846,0.0008939608931541442,0.0008895212004797494,0.0043110122690633865,0.5236574074074074,0.0005181878805160522,52.51038127595319,52.51038127595319,0.652962962962963,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4L,negative,0.8,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,21600,0.9715866606849111,0.017216198491296852,0.929601170874497,0.9855885922330098,0.999666034762845,0.00579833984375,0.8671875,1.484375,0.9858412411507758,0.9660005964807635,103.0,249,0,0.0010884809151636746,0.0055400296373046,0.10642547160387039,0.9952674806118011,0.10638872161507607,-3.1460076570510864e-06,0.00031504780054092407,0.00038000941276550293,0.0016542464445425842,0.010549558750939294,0.4912962962962963,0.0016539618372917175,-525.7335701598579,525.7335701598579,0.6749074074074074,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,negative,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,21600,0.9567837718653536,0.026818251912672175,0.8901036490132046,0.9779146634615384,0.999666034762845,0.004486083984375,0.7890625,1.1484375,0.9821322215604527,0.9501904482859654,93.0,249,0,0.001667795173045388,0.006194156973954331,0.17919352650642395,0.9866616725921631,0.1793055236339569,6.008194759488106e-06,0.0006290879100561142,0.0008970513939857483,0.0018931912207525272,0.012268729108530137,0.5086574074074074,0.0016949810087680817,282.1115287734935,282.1115287734935,0.6656481481481481,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
