arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R6,0.8,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,43200,0.9691572383406146,0.013220401715102414,0.9366163563585619,0.9843370752427184,0.9993301331179918,0.0063018798828125,0.8984375,1.61328125,0.9691572383406146,0.964096834264432,0.0,1,0,0.0010958787764854805,0.0061495231798450725,0.10620541498064995,0.9952978491783142,0.10623783245682716,1.710653305053711e-05,0.0002944972366094589,0.0004617543891072273,0.0015999463497790706,0.01002368120154652,0.5471759259259259,0.0017608441412448883,102.93401567944251,102.93401567944251,0.664699074074074,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,all
R7,0.8,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,43200,0.9640236862686679,0.017521266777687172,0.9267107522560375,0.9816823422330098,0.9991209464286523,0.0073699951171875,0.9296875,1.88671875,0.9640236862686679,0.9690837129415278,0.0,1,0,0.0010958787764854805,0.007361700774864371,0.10635232925415039,0.9952795505523682,0.10623783245682716,5.313009023666382e-05,0.000396334333345294,0.0007195580750703811,0.002185540032645204,0.015140244226453353,0.5979166666666667,0.0020215287804603577,38.04866077688963,38.04866077688963,0.6621296296296296,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,all
R8,0.8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,43200,0.9111401029209248,0.029999462793199205,0.8412122058515467,0.9535042475728155,0.9942876799923008,0.018707275390625,1.0,4.7890625,0.9111401029209248,0.9124569356300998,0.0,5,0,0.0010958787764854805,0.02116735203202191,0.10665488988161087,0.9952259361743927,0.10623783245682716,0.00023050513118505478,0.001045677810907364,0.0017863335087895393,0.006713956255427032,0.034928190363775966,0.6450925925925926,0.005409605801105499,23.468483210304523,23.468483210304523,0.658587962962963,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R9,0.8,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,43200,0.909064581523313,0.03076441122491569,0.8385162459907962,0.9523665048543689,0.9940972339423982,0.0191650390625,1.0,4.90625,0.909064581523313,0.9133589724983673,0.0,4,0,0.0010958787764854805,0.021711025871448034,0.10667861998081207,0.9952177703380585,0.10623783245682716,0.00027333665639162064,0.0011477353982627392,0.0021347906440496445,0.007379719692890685,0.041925254633682456,0.6615046296296296,0.005556030198931694,20.326692629807184,20.326692629807184,0.6578703703703703,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,8640,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9818113491168734,0.0,0,0,0.001117762958539584,,0.1120869442820549,0.9951150715351105,0.1120869442820549,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,broad
R1,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,8640,0.9818113491168734,0.008333851774066647,0.9648286140089418,0.9908222087378641,0.9997752811918517,0.003692626953125,0.7109375,0.9453125,0.9818113491168734,,0.0,1,0,0.001117762958539584,0.0031511920074323266,0.11212233453989029,0.9950909614562988,0.1120869442820549,3.452599048614502e-05,0.0002886466681957245,0.0006350103765726089,0.0015278020418587794,0.008807732961798194,0.5900462962962963,0.0013141483068466187,38.06258092360812,38.06258092360812,0.6864583333333333,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,broad
R2,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,8640,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9818113491168734,0.0,1,0,0.001117762958539584,6.96808617413168e-08,0.1120869442820549,0.9951150715351105,0.1120869442820549,0.0,0.0,0.0,0.0,0.0,0.0038194444444444443,0.0,,,0.00474537037037037,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,broad
R3,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,8640,0.9818113491168734,0.008333851774066647,0.9648286140089418,0.9908222087378641,0.9997752823268916,0.003692626953125,0.7109375,0.9453125,0.9818113491168734,1.0,0.0,1,0,0.001117762958539584,0.0031511920074323266,0.11212233453989029,0.9950909614562988,0.1120869442820549,3.452599048614502e-05,0.000288509763777256,0.0006350103765726089,0.0015278020418587794,0.008807732961798194,0.5900462962962963,0.0013396069407463074,38.79995684074234,38.79995684074234,0.6878472222222223,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,broad
R4,0.8,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,8640,0.994402843960366,0.0057271555094103865,0.9788367729831144,0.9971935679611651,0.999988952265303,0.001129150390625,0.27734375,0.2890625,0.9975757575757576,0.9807692307692307,100.0,252,0,0.001117762958539584,0.0007027655061719466,0.11200876906514168,0.9951242804527283,0.1120869442820549,-1.5177763998508453e-05,0.00015314295887947083,0.00011190474033355713,0.0006378459816567102,0.0030523731058772373,0.38113425925925926,0.0003700554370880127,-24.381419893231882,24.381419893231882,0.7447916666666666,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,broad
R5,0.8,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,8640,0.9808436314464937,0.008843756597585961,0.9605189784006841,0.9903291868932039,0.9997712302736581,0.0038909912109375,0.734375,0.99609375,0.9817368757280823,0.994402843960366,101.0,250,0,0.001117762958539584,0.0033809821665618193,0.11208608001470566,0.9951031506061554,0.1120869442820549,1.665297895669937e-05,0.0003169090487062931,0.0005480878055095673,0.0016904892064481193,0.009027831303713846,0.5386574074074074,0.001368815079331398,82.19640959677871,82.19640959677871,0.7105324074074074,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,broad
