arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R1,1,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9792823900315268,0.01157745118308906,0.9556442268498614,0.9895327669902912,0.9997609168251187,0.00421142578125,0.765625,1.078125,0.9792823900315268,,0.0,0,0,0.0010765867599098426,0.00337826239797253,0.15599900484085083,0.989716649055481,0.15605959296226501,1.2994627468287945e-05,0.0002911016345024109,0.0004477769136428833,0.0010156203360295645,0.007424480118232818,0.5327777777777778,-0.00012239068746566772,-9.418560690897037,9.418560690897037,0.4711111111111111,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9714179933358016,0.01549622372142323,0.9374181341871634,0.9855018028846154,0.9997609168251187,0.0029449462890625,0.6171875,0.75390625,0.9714179933358016,,0.0,0,0,0.0015726792387741884,0.0031596232830960022,0.23923321068286896,0.9763989150524139,0.23927844315767288,2.3096799850463867e-05,0.0004925562534481287,0.0007457531988620758,0.0010830393585182807,0.007268319296004083,0.5297222222222222,-0.00014118850231170654,-6.112903225806452,6.112903225806452,0.4663888888888889,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,1,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9613967879770149,0.019623106020042247,0.9220329194340169,0.9803185096153846,0.9997609168251187,0.0019989013671875,0.4609375,0.51171875,0.9613967879770149,,0.0,0,0,0.002382271914581892,0.002932372542860158,0.34134651720523834,0.9536495208740234,0.34132105112075806,5.027651786804199e-05,0.0008729025721549988,0.0013957470655441284,0.0012728153577259952,0.007893645711484074,0.5373611111111111,-0.00010690093040466309,-2.126259632483699,2.126259632483699,0.4820833333333333,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,10,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9827800127833967,0.009530141780139001,0.9611022275110631,0.9913152305825242,0.999792710378246,0.0034942626953125,0.68359375,0.89453125,0.9827800127833967,,0.0,0,0,0.0011159697270501589,0.002897021360028844,0.1142025925219059,0.994712233543396,0.11415119469165802,2.138689160346985e-05,0.00023483228869736195,0.00042225420475006104,0.0011877643057681172,0.008137860280571734,0.5670833333333334,0.0008294060826301575,38.78104859780526,38.78104859780526,0.6616666666666666,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,10,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9763937346893327,0.01435903765579416,0.9466257220150617,0.9880558894230769,0.999792710378246,0.0024261474609375,0.53515625,0.62109375,0.9763937346893327,,0.0,0,0,0.0016857119040841078,0.002664941045148143,0.19061726331710815,0.9850312769412994,0.19070332497358322,2.5676563382148743e-05,0.00042152777314186096,0.0007251262664794922,0.0011672808903022724,0.008692848623047509,0.5458333333333333,0.0006687566637992859,26.045411679361624,26.045411679361624,0.6388888888888888,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,10,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9654510556621881,0.018550601442015036,0.9298347347057117,0.982421875,0.999792710378246,0.0017852783203125,0.421875,0.45703125,0.9654510556621881,,0.0,0,0,0.002363423657726173,0.002482251002604037,0.2945985794067383,0.9649676382541656,0.2945808917284012,6.0791149735450745e-05,0.000768544152379036,0.0012911677360534668,0.0013373745318866594,0.00989319150324151,0.5519444444444445,0.0010139942169189453,16.679964457517542,16.679964457517542,0.6469444444444444,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,25,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9829291220154164,0.010050195016438335,0.9613939822218918,0.9913910800970874,0.9997861426081882,0.0034637451171875,0.68359375,0.88671875,0.9829291220154164,,0.0,0,0,0.0011188803158806787,0.00288995453199727,0.09230789914727211,0.9964481890201569,0.09229132533073425,4.3997541069984436e-05,0.0002471492625772953,0.0005680091679096221,0.0016146275087643874,0.01057227066703521,0.6233333333333333,0.0018147211521863937,41.24596757122899,41.24596757122899,0.7433333333333333,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,25,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9777150497697222,0.014367563247116855,0.9470528009360832,0.9887319711538461,0.9997861426081882,0.002288818359375,0.515625,0.5859375,0.9777150497697222,,0.0,0,0,0.0017155456359580728,0.0026346237008850054,0.1617245227098465,0.9890294671058655,0.16185276210308075,5.50001859664917e-05,0.00043926015496253967,0.0009008761495351792,0.0014384412480150835,0.010262141557584443,0.5893055555555555,0.0012972205877304077,23.585749119479814,23.585749119479814,0.725,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,25,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9666124981533462,0.018274216001104238,0.9298347347057117,0.9830228365384616,0.9997861426081882,0.0017242431640625,0.41015625,0.44140625,0.9666124981533462,,0.0,0,0,0.002392954567760646,0.0024446140872108296,0.26591581106185913,0.9707179665565491,0.2658453732728958,0.00010528415441513062,0.0007891692221164703,0.0014631785452365875,0.0015149954286052204,0.011553917318499245,0.5891666666666666,0.0017094165086746216,16.236218243577948,16.236218243577948,0.7173611111111111,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,40,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9824073377941508,0.010640972265876236,0.9594954865189298,0.9911256067961165,0.999774309760493,0.003570556640625,0.69921875,0.9140625,0.9824073377941508,,0.0,1,0,0.001108028098768531,0.002958650730117191,0.07584120705723763,0.9976643025875092,0.07580089196562767,5.5558979511260986e-05,0.00026302289916202426,0.0007019832730293274,0.0020153037377594846,0.014131642421665393,0.6654166666666667,0.003112214617431164,56.016410754995306,56.016410754995306,0.8188888888888889,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,40,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9780089153046062,0.014367563247116855,0.9446351617851143,0.9888822115384616,0.999774309760493,0.00225830078125,0.51171875,0.578125,0.9780089153046062,,0.0,0,0,0.0017587422944597081,0.002672416944128798,0.14204683899879456,0.9915606677532196,0.14203844219446182,6.145238876342773e-05,0.00045933015644550323,0.0009481720626354218,0.0017216989336745797,0.011673746083283665,0.5986111111111111,0.0020917877554893494,34.03916100872939,34.03916100872939,0.7986111111111112,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,40,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9677753141167775,0.01885994377501332,0.9298347347057117,0.9836237980769231,0.999774309760493,0.0016632080078125,0.3984375,0.42578125,0.9677753141167775,,0.0,0,0,0.0024668156877151338,0.0024475624577798725,0.24172234535217285,0.9756861925125122,0.24164415895938873,9.91523265838623e-05,0.0007821395993232727,0.0015069451183080673,0.0017372098713805619,0.013530396191692851,0.58875,0.0024449676275253296,24.658701532912534,24.658701532912534,0.7916666666666666,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
