arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R2,0.95,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,43200,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,1,0,0.002423984849469858,9.91009506192209e-08,0.27706222236156464,0.9682413339614868,0.27706222236156464,0.0,0.0,0.0,0.0,0.0,0.002638888888888889,0.0,,,0.0035185185185185185,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,0.95,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,43200,0.9645808736717828,0.019973404977068565,0.9270411117544877,0.9819711538461539,0.9997626768132071,0.0018310546875,0.4296875,0.46875,0.9645808736717828,1.0,0.0,1,0,0.002423984849469858,0.0026730726788199584,0.2772162854671478,0.968248039484024,0.27706222236156464,7.999688386917114e-05,0.000796537846326828,0.0014253221452236176,0.0014821938338122394,0.01105099943499406,0.5685416666666666,0.0011423826217651367,14.280339014622333,14.280339014622333,0.6530555555555555,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R4,0.95,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,43200,0.9847920083494857,0.01476139150953859,0.9530516431924883,0.9923377403846154,0.999989014250315,0.0007781982421875,0.1953125,0.19921875,0.995502923099985,0.9611078373600471,81.0,246,0,0.002423984849469858,0.0010214934387328617,0.2771625816822052,0.9682278335094452,0.27706222236156464,1.4647841453552246e-05,0.0004651583731174469,0.0009539127349853516,0.0008933883098137416,0.004383242446908747,0.5329398148148148,0.0005197525024414062,35.48321464903357,35.48321464903357,0.6515972222222223,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R5,0.95,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,43200,0.9608189718662542,0.02335075463681413,0.9178792681169862,0.9800180288461539,0.9997608011018083,0.0020294189453125,0.46875,0.51953125,0.9645808736717828,0.9847920083494857,81.0,239,0,0.002423984849469858,0.0030535795869986912,0.2772297114133835,0.9682173430919647,0.27706222236156464,0.00011485069990158081,0.0009508281946182251,0.001865878701210022,0.0017692290475620261,0.011948958637745633,0.5893055555555555,0.0012823045253753662,11.164969185857931,11.164969185857931,0.6520370370370371,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4L,0.95,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,43200,0.9337594421847762,0.04274146602295037,0.8430015229129172,0.9657451923076923,0.9996687161567394,0.00347900390625,0.6953125,0.890625,0.9753672651728743,0.9250903832248735,81.0,238,0,0.002423984849469858,0.006430383581670553,0.27706068754196167,0.9681968092918396,0.27706222236156464,3.854930400848389e-05,0.0012476108968257904,0.001833932101726532,0.0023522317889510913,0.014615167136162616,0.5224305555555555,0.0025246143341064453,65.49052957093159,65.49052957093159,0.6681944444444444,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R5L,0.95,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,43200,0.9231436001155735,0.04560443756291821,0.830822235022292,0.9600360576923077,0.9994342091032266,0.004058837890625,0.7578125,1.0390625,0.9556339062729543,0.9306744017403916,81.0,239,0,0.002423984849469858,0.007717759099692359,0.27729693055152893,0.9682255983352661,0.27706222236156464,9.801983833312988e-05,0.0015253480523824692,0.002421524003148079,0.002860411472415081,0.020009566075890512,0.5431712962962963,0.0028141941875219345,28.710455305564,28.710455305564,0.6682870370370371,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R6,0.95,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,43200,0.9430740037950665,0.02714153247952522,0.8826191486352709,0.970703125,0.9993301331179918,0.0029754638671875,0.62890625,0.76171875,0.9430740037950665,0.9340403893651025,0.0,2,0,0.002423984849469858,0.0052162016726438505,0.2771775722503662,0.9682635962963104,0.27706222236156464,8.970499038696289e-06,0.0010276809334754944,0.0014274895191192627,0.0019241312664963273,0.011581880040352885,0.5063888888888889,0.002064533531665802,230.1470099667774,230.1470099667774,0.6636574074074074,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
R7,0.95,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,43200,0.9337594421847762,0.03248355025292482,0.8699124198418222,0.9657451923076923,0.9991209464286523,0.00347900390625,0.69140625,0.890625,0.9337594421847762,0.9427904261529481,0.0,1,0,0.002423984849469858,0.006289933310652352,0.277227520942688,0.9681902825832367,0.27706222236156464,9.106844663619995e-05,0.0012501711025834084,0.002020164579153061,0.0023526359505442896,0.016127775857082575,0.5490046296296296,0.0023443028330802917,25.742207314080012,25.742207314080012,0.6593055555555556,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
R8,0.95,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,43200,0.8491457146825948,0.0690094113898645,0.7108340830227478,0.9184194711538461,0.9942876799923008,0.0082855224609375,0.95703125,2.12109375,0.8491457146825948,0.8512028925045195,0.0,3,0,0.002423984849469858,0.0185292521910191,0.27710118889808655,0.9682863354682922,0.27706222236156464,0.00027438998222351074,0.003406612202525139,0.004424837976694107,0.006771773421381698,0.03609377908841448,0.5512268518518518,0.005924016237258911,21.589768654284782,21.589768654284782,0.6799768518518519,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R9,0.95,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,43200,0.8463245492371706,0.07056853656691098,0.7086381722500321,0.9167668269230769,0.9940972339423982,0.008453369140625,0.95703125,2.1640625,0.8463245492371706,0.8527487821851079,0.0,4,0,0.002423984849469858,0.019026099424647877,0.27706852555274963,0.9682973921298981,0.27706222236156464,0.00035540759563446045,0.0036255582235753536,0.004813170433044434,0.007208003255557484,0.03991751608504267,0.565162037037037,0.006091393530368805,17.139176554442162,17.139176554442162,0.6791203703703703,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
