arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,15,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9593759199293495,0.0,0,0,0.0020140303384590568,,0.37830474972724915,0.9423111975193024,0.37830474972724915,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,16,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9833765843017789,0.0,0,0,0.0011562776060636297,,0.12059247121214867,0.994112640619278,0.12059247121214867,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,16,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9761003488458398,0.0,0,0,0.0016262872822143974,,0.19393815845251083,0.9845553636550903,0.19393815845251083,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,16,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9631322813744285,0.0,0,0,0.0023655111122259844,,0.2846301794052124,0.9664489030838013,0.2846301794052124,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,17,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9831528279181708,0.0,0,0,0.0011513774325648941,,0.07429240271449089,0.997599184513092,0.07429240271449089,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,17,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9786704348974937,0.0,0,0,0.001825078644272526,,0.14164262264966965,0.9910650849342346,0.14164262264966965,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,17,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.972732661529342,0.0,0,0,0.002857551615935367,,0.22790737450122833,0.9777214825153351,0.22790737450122833,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,18,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.980285763263566,0.0,0,0,0.0010248487727830477,,0.2202441394329071,0.9806819558143616,0.2202441394329071,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,18,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9768339768339769,0.0,0,0,0.0018098458916863697,,0.3500274121761322,0.9531467258930206,0.3500274121761322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,18,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9628428192273666,0.0,0,0,0.0022912665288762893,,0.5342652797698975,0.8947342038154602,0.5342652797698975,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
