layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
4,5,240,False,native,240,0.966612,0.960097,0.972148,0.012051,0.965611,0.953052,0.975103,0.936854,0.980952,240,0.983023,0.979642,0.985877,0.006235,0.982486,0.975962,0.987395,0.967398,0.990385,0.00264,240,0.002708,240,0.402344,240,79.0,240,,0,0.105815,240
4,10,240,False,native,240,0.967339,0.961397,0.97361,0.012213,0.966311,0.955031,0.975983,0.937418,0.982723,240,0.983398,0.980319,0.986629,0.00631,0.982847,0.976998,0.987846,0.967698,0.991286,0.00267,240,0.002701,240,0.398438,240,82.0,240,0.999838,240,0.105533,240
4,15,240,False,native,240,0.968357,0.961036,0.973976,0.01294,0.96721,0.955605,0.977421,0.941657,0.985088,240,0.983924,0.980131,0.986816,0.006686,0.983312,0.977299,0.988582,0.969952,0.992488,0.002663,240,0.002716,240,0.392578,240,82.0,240,,0,0.105228,240
4,20,240,False,native,240,0.968648,0.96277,0.973683,0.010913,0.967304,0.954772,0.977128,0.941374,0.981837,240,0.984075,0.981032,0.986666,0.005634,0.983361,0.976863,0.988431,0.969802,0.990835,0.002731,240,0.002747,240,0.386719,240,81.0,240,0.999841,240,0.105001,240
4,25,240,False,native,240,0.96894,0.962264,0.974488,0.012224,0.967327,0.955031,0.976834,0.942507,0.981837,240,0.984225,0.980769,0.987079,0.00631,0.983372,0.976998,0.988281,0.970403,0.990835,0.002739,240,0.002769,240,0.382812,240,83.0,240,,0,0.104794,240
4,30,240,False,native,240,0.969085,0.96277,0.973976,0.011205,0.967538,0.955893,0.97657,0.938547,0.981247,240,0.9843,0.981032,0.986816,0.005784,0.983483,0.977449,0.988146,0.968299,0.990535,0.002792,240,0.002808,240,0.378906,240,80.5,240,0.999833,240,0.104692,240
4,35,240,False,native,240,0.968648,0.963422,0.973098,0.009676,0.966998,0.95331,0.975397,0.943358,0.980952,240,0.984075,0.98137,0.986366,0.004995,0.983204,0.976097,0.987545,0.970853,0.990385,0.002869,240,0.002846,240,0.386719,240,79.5,240,,0,0.104393,240
4,40,240,False,native,240,0.96894,0.963422,0.97244,0.009019,0.966582,0.952737,0.975074,0.939959,0.980952,240,0.984225,0.98137,0.986028,0.004657,0.982988,0.975796,0.98738,0.96905,0.990385,0.002808,240,0.002876,240,0.382812,240,80.0,240,0.999827,240,0.104086,240
4,45,240,False,native,240,0.968066,0.962264,0.972148,0.009884,0.966047,0.951305,0.975103,0.938547,0.978891,240,0.983774,0.980769,0.985877,0.005108,0.98271,0.975045,0.987395,0.968299,0.989333,0.002922,240,0.002846,240,0.394531,240,82.5,240,,0,0.103544,240
5,0,240,False,native,240,0.962264,0.957647,0.969595,0.011948,0.964068,0.955059,0.973054,0.945346,0.985088,240,0.980769,0.978365,0.984563,0.006197,0.981687,0.977013,0.986343,0.971905,0.992488,0.002975,240,0.00325,240,0.4375,240,78.0,240,0.999685,240,0.105451,240
5,5,240,False,native,240,0.968357,0.96277,0.974049,0.011279,0.969713,0.959664,0.984851,0.950476,0.992814,240,0.983924,0.981032,0.986854,0.005822,0.984602,0.979417,0.992368,0.974609,0.996394,0.003311,240,0.003273,240,0.386719,240,65.0,240,,0,0.105241,240
5,10,240,False,native,240,0.967775,0.961686,0.973976,0.01229,0.968717,0.957071,0.982457,0.948478,0.991026,240,0.983624,0.980469,0.986816,0.006348,0.984088,0.978065,0.991151,0.973558,0.995493,0.003258,240,0.00325,240,0.394531,240,66.0,240,0.999708,240,0.104538,240
5,15,240,False,native,240,0.967484,0.962481,0.973903,0.011422,0.968163,0.956755,0.981867,0.938829,0.992218,240,0.983474,0.980882,0.986779,0.005897,0.983801,0.9779,0.99085,0.96845,0.996094,0.003326,240,0.003311,240,0.398438,240,63.5,240,,0,0.103971,240
5,20,240,False,native,240,0.966903,0.960747,0.973391,0.012644,0.966979,0.953338,0.981247,0.928996,0.994307,240,0.983173,0.97998,0.986516,0.006535,0.983181,0.976112,0.990535,0.963191,0.997145,0.003197,240,0.003204,240,0.402344,240,66.0,240,0.999692,240,0.103108,240
5,25,240,False,native,240,0.965886,0.959015,0.973318,0.014302,0.966179,0.953224,0.9811,0.92732,0.992516,240,0.982647,0.979079,0.986478,0.007399,0.982763,0.976052,0.99046,0.96229,0.996244,0.003082,240,0.003059,240,0.414062,240,67.0,240,,0,0.102351,240
5,30,240,False,native,240,0.965016,0.957071,0.972733,0.015661,0.965271,0.951878,0.980864,0.924534,0.994905,240,0.982197,0.978065,0.986178,0.008113,0.982289,0.975346,0.99034,0.960787,0.997446,0.002968,240,0.002975,240,0.421875,240,65.0,240,0.999674,240,0.101759,240
5,35,240,False,native,240,0.964436,0.957071,0.971856,0.014785,0.964445,0.948734,0.979538,0.92509,0.993113,240,0.981896,0.978065,0.985727,0.007662,0.981858,0.973693,0.989663,0.961088,0.996544,0.00296,240,0.002876,240,0.425781,240,66.0,240,,0,0.10128,240
5,40,240,False,native,240,0.964001,0.955059,0.971345,0.016286,0.963027,0.947623,0.979215,0.907437,0.99192,240,0.981671,0.977013,0.985464,0.008451,0.981116,0.973107,0.989498,0.951472,0.995944,0.002808,240,0.002899,240,0.433594,240,69.5,240,0.999635,240,0.100876,240
5,45,240,False,native,240,0.961252,0.951835,0.969595,0.01776,0.960834,0.943301,0.980098,0.921201,0.992814,240,0.980243,0.975323,0.984563,0.00924,0.979971,0.970823,0.989949,0.958984,0.996394,0.002708,240,0.002754,240,0.46875,240,70.5,240,,0,0.100367,240
6,0,240,False,native,240,0.953912,0.946199,0.964146,0.017947,0.952677,0.931767,0.971447,0.911545,0.987459,240,0.976412,0.972356,0.981746,0.00939,0.975698,0.964678,0.985517,0.953726,0.99369,0.002441,240,0.002022,240,0.53125,240,118.0,240,0.999733,240,0.109834,240
6,5,240,False,native,240,0.957359,0.948193,0.971272,0.023079,0.958279,0.937418,0.976012,0.917051,0.992516,240,0.978215,0.973407,0.985427,0.012019,0.97863,0.967698,0.987861,0.956731,0.996244,0.002159,240,0.002258,240,0.498047,240,111.0,240,,0,0.109578,240
6,10,240,False,native,240,0.959953,0.950119,0.973025,0.022906,0.959848,0.940525,0.977774,0.916223,0.993113,240,0.979567,0.974422,0.986328,0.011907,0.979454,0.969351,0.988762,0.95628,0.996544,0.002403,240,0.002258,240,0.474609,240,107.0,240,0.999874,240,0.10967,240
6,15,240,False,native,240,0.96053,0.950476,0.973318,0.022841,0.960823,0.942195,0.978009,0.917327,0.99192,240,0.979868,0.974609,0.986478,0.011869,0.979966,0.970237,0.988882,0.956881,0.995944,0.002243,240,0.002342,240,0.46875,240,105.0,240,,0,0.109747,240
6,20,240,False,native,240,0.962843,0.951262,0.973683,0.022421,0.962211,0.943641,0.979215,0.923144,0.988053,240,0.98107,0.975023,0.986666,0.011644,0.980694,0.971004,0.989498,0.960036,0.99399,0.002396,240,0.002327,240,0.449219,240,101.0,240,0.999878,240,0.109714,240
6,25,240,False,native,240,0.963856,0.952192,0.975367,0.023175,0.963082,0.94563,0.979774,0.927041,0.987756,240,0.981596,0.975511,0.98753,0.012019,0.981148,0.972055,0.989784,0.962139,0.99384,0.002289,240,0.002266,240,0.441406,240,103.0,240,,0,0.109741,240
6,30,240,False,native,240,0.965451,0.954485,0.975367,0.020882,0.964253,0.946483,0.979185,0.927878,0.989538,240,0.982422,0.976713,0.98753,0.010817,0.98176,0.972506,0.989483,0.96259,0.994742,0.002396,240,0.002449,240,0.414062,240,96.0,240,0.999878,240,0.109749,240
6,35,240,False,native,240,0.966758,0.95549,0.975147,0.019657,0.965182,0.948449,0.979185,0.931235,0.992516,240,0.983098,0.977239,0.987417,0.010179,0.982244,0.973543,0.989483,0.964393,0.996244,0.002472,240,0.002518,240,0.404297,240,94.5,240,,0,0.109727,240
6,40,240,False,native,240,0.967339,0.957431,0.976247,0.018816,0.96601,0.949334,0.979509,0.934603,0.995204,240,0.983398,0.978253,0.987981,0.009728,0.98267,0.974008,0.989648,0.966196,0.997596,0.00251,240,0.002579,240,0.400391,240,94.0,240,0.999871,240,0.109716,240
