arm,timestep,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0_FP64,0,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9782048741826828,0.018695040041598943,0.9889823717948718,0.9999999999999996,0.35256410256410253,0.328525641025641,0.0011300131492439185,0.0,0.0016234029049760693,0.002038701131499958,0.44581839442253113,0.9187822341918945,0.44476231932640076,0.0008077621459960938,0.0016134977340698242,0.0018267423095216463,0.0018562731028484453,0.0065310196176758374,0.9265277777777777,-0.004511937499046326,5.585725354191263,0.11319444444444444,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,1,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.992260832918279,0.007118234995499462,0.9961153846153846,0.9999999999999996,0.4855769230769231,0.43189102564102566,0.001556336291913215,0.0,0.0011170138728867904,0.0008704715584485266,0.2612750232219696,0.9687973856925964,0.2610492706298828,0.00021933019161224365,0.000508233904838562,0.0008828476747057653,0.0009221372793018631,0.0034057716741359837,0.9013888888888889,-0.001049228012561798,4.78378286568381,0.15583333333333332,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,1,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.987010033106725,0.01068670128341398,0.993462555962556,0.9999999999999996,0.41185897435897434,0.3766025641025641,0.001320060815253123,0.0,0.0013336677550004408,0.0013159938831072454,0.37206272780895233,0.9406343698501587,0.37121522426605225,0.00048451125621795654,0.0010887477546930313,0.0013044801165287946,0.001329280894565273,0.005295240751038979,0.9154166666666667,-0.0026165246963500977,5.400338305397509,0.13291666666666666,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,1,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9802647890117518,0.016180499395433978,0.9900340544871795,0.9999999999999996,0.3189102564102564,0.30128205128205127,0.0010221482577251809,0.0,0.00145029579957405,0.002021851801271911,0.4615774601697922,0.9130401611328125,0.4605793207883835,0.0007475167512893677,0.0014248043298721313,0.0016305846319039845,0.0016900039822542669,0.005756215243083382,0.9148611111111111,-0.0044517070055007935,5.955327419515599,0.1226388888888889,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,10,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9937121386396749,0.004863526635105919,0.9968461538461538,0.9999999999999996,0.3942307692307692,0.36378205128205127,0.001263560157790927,0.0,0.0008239735707575183,0.0008283295900916512,0.23483451455831528,0.9750326871871948,0.23449409008026123,0.00017324835062026978,0.0003205668181180954,0.0007791812933783306,0.0008212131324805455,0.0025570394876639354,0.8801388888888889,-0.0005309060215950012,3.0644217950371995,0.2679166666666667,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,10,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9891716844608612,0.007240688050240696,0.9945563695563695,0.9999999999999996,0.34294871794871795,0.32211538461538464,0.0010991946088099935,0.0,0.001048617799155316,0.001280864905300533,0.32293881475925446,0.9553361237049103,0.32237114012241364,0.0003450661897659302,0.0006672646850347519,0.0011540232115000077,0.001196381993365728,0.0035840225910105487,0.8908333333333334,-0.0015516430139541626,4.49665327978581,0.21597222222222223,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,10,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9840031794922748,0.010731334834364281,0.9919370993589743,0.9999999999999996,0.2580128205128205,0.2483974358974359,0.0008269641683103222,0.0,0.0011771381593711169,0.0020630188934947793,0.3955621123313904,0.9366528987884521,0.39509396255016327,0.00048076361417770386,0.0008778870105743408,0.0012677652062333966,0.001334512086209434,0.0040105860016767915,0.8856944444444445,-0.002583622932434082,5.373998481255908,0.1951388888888889,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,25,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9942473633748802,0.004406871544598068,0.9971153846153846,0.9999999999999996,0.3605769230769231,0.33814102564102566,0.0011556952662721894,0.0,0.0007468011660225303,0.0008171052578908428,0.19071584194898605,0.9836758971214294,0.19045055657625198,0.0001629069447517395,0.0002429317682981491,0.0009000660685057934,0.0009218295661441575,0.002546350911773962,0.8956944444444445,-4.2729079723358154e-05,0.2622913331808827,0.43916666666666665,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,25,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9900275886506872,0.006089263988388494,0.9949888074888075,0.9999999999999996,0.3157051282051282,0.29967948717948717,0.0010118754109138726,0.0,0.0009713608207694797,0.0012787789266221793,0.2754002511501312,0.9680312275886536,0.2748807519674301,0.00034796446561813354,0.0005316957831382751,0.001361731024006507,0.001394172505822571,0.003775831287646405,0.9065277777777778,-0.0004969462752342224,1.4281523670856262,0.37569444444444444,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,25,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9853840417598807,0.008479948593155928,0.9926382211538461,0.9999999999999996,0.23557692307692307,0.22916666666666666,0.0007550542406311637,0.0,0.0011052867809547807,0.002115493289704402,0.35056179761886597,0.9514784216880798,0.349918469786644,0.0005026534199714661,0.0007896721363067627,0.0015182219084877613,0.0015699287462424124,0.004246373258804127,0.8972222222222223,-0.0010600611567497253,2.108930556584896,0.3318055555555556,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
