arm,cfg_branch,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
VA_NVFP4_VB_FP64,negative,0.8,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.9768355424892922,0.008584420799266801,0.9882820512820513,0.9996678992895608,1.4647435897435896,0.8685897435897436,0.004694690992767916,0.0,0.003544405565953537,0.0008366163812478612,0.192024365067482,0.983320027589798,0.19181013852357864,0.00015991181135177612,0.0005571763031184673,0.0008552407992954186,0.0014905901350522797,0.005832863480597523,0.6865740740740741,-0.001290649175643921,8.071005917159763,0.394212962962963,0.08807500079274178,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_NVFP4_VB_FP64,negative,0.9,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.9684049770923566,0.013981413128556164,0.9839489214489214,0.9996678992895608,1.0112179487179487,0.7435897435897436,0.0032410831689677843,0.0,0.003276452562109621,0.0012840092540768885,0.27836304903030396,0.9671392738819122,0.2776983678340912,0.0003589801490306854,0.0009799767285585403,0.001306600398401912,0.001819565195821931,0.007801626967545622,0.7526851851851852,-0.0033637434244155884,9.370276973527183,0.327037037037037,0.08807500079274178,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_NVFP4_VB_FP64,negative,0.95,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.959760526057513,0.019371722649316858,0.9794671474358975,0.9996678992895608,0.657051282051282,0.5641025641025641,0.0021059335963182118,0.0,0.0030298094004726087,0.002087272753560246,0.34986239671707153,0.9510979354381561,0.35013139247894287,0.0005349069833755493,0.0013097897171974182,0.0015559510619297117,0.0020276053083274166,0.007919960556015253,0.77875,-0.0054902732372283936,10.26397749115525,0.2941666666666667,0.08807500079274178,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_NVFP4_VB_FP64,positive,0.8,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.9773116167057482,0.00816256836696716,0.988525641025641,0.9996768178090993,1.4342948717948718,0.8637820512820513,0.004597098948060487,0.0,0.0034656298143830064,0.0008442532453607535,0.19566825777292252,0.9827557504177094,0.19547734409570694,0.00014304369688034058,0.000506475567817688,0.0007291651020505043,0.001372282684378794,0.005364904833551363,0.6723611111111111,-0.0014430508017539978,10.088181676128965,0.3852777777777778,0.08798587322235107,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_NVFP4_VB_FP64,positive,0.9,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.968848600190314,0.01289608808654763,0.9841778591778592,0.9996768178090993,0.9967948717948718,0.7387820512820513,0.003194855358316897,0.0,0.0032117944145397957,0.0012945462276439243,0.27965420484542847,0.9669685363769531,0.2789868116378784,0.00032670050859451294,0.0008707121014595032,0.0011785679484260228,0.0016894397801896761,0.0071570389123130265,0.7430555555555556,-0.0034319981932640076,10.505028620949167,0.3227777777777778,0.08798587322235107,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_NVFP4_VB_FP64,positive,0.95,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,21600,0.9600490797546012,0.018235170485232155,0.9796173878205128,0.9996768178090993,0.6522435897435898,0.5592948717948718,0.002090524326101249,0.0,0.002993890338059986,0.0021043708223563292,0.34979522228240967,0.9512740075588226,0.34931039810180664,0.0005040615797042847,0.0012154802680015564,0.0014665257397950774,0.0019331130986201704,0.007526417826932011,0.7763425925925926,-0.005406513810157776,10.725899429449848,0.29097222222222224,0.08798587322235107,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VB_BF16_LOW,negative,0.8,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,21600,0.9771612527090912,0.015040951992398188,0.9884487179487179,0.9998346238295788,1.4439102564102564,0.8669871794871795,0.004627917488494411,0.0,0.004017805746467701,0.0008366163812478612,0.1917082592844963,0.9833969175815582,0.19181013852357864,-4.5455992221832275e-05,0.0002735927700996399,-0.0002441719198044258,0.0007179435739578672,0.0027346402483622747,0.3962962962962963,-0.0010357201099395752,22.78511719390264,0.4178703703703704,0.0,321.0,0,1452,0.0006677350427350427,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VB_BF16_LOW,negative,0.9,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,21600,0.9620682771012178,0.022355697121016038,0.9806674806674807,0.9998346238295788,1.2179487179487178,0.8141025641025641,0.0039036817882971728,0.0,0.004877536928398398,0.0012840092540768885,0.2777167409658432,0.9672397077083588,0.2776983678340912,-7.644295692443848e-05,0.0005025602877140045,-0.0002785907642666748,0.000892776401575558,0.003733181721097702,0.40046296296296297,-0.0035855621099472046,46.90506822612086,0.3513425925925926,0.0,296.0,0,252,0.0002670940170940171,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VB_BF16_LOW,negative,0.95,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,21600,0.9463885368944341,0.033281777171993765,0.9724559294871795,0.9998346238295788,0.8814102564102564,0.6891025641025641,0.002825032873109796,0.0,0.0052239146234136875,0.002087272753560246,0.3500361740589142,0.9514488875865936,0.35013139247894287,-9.468942880630493e-05,0.0007905438542366028,-0.00028607894441853377,0.0011177475407538645,0.004342809587965992,0.4237962962962963,-0.006457418203353882,68.19576677944764,0.32439814814814816,0.0,244.0,0,156,0.0002670940170940171,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VB_BF16_LOW,positive,0.8,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,21600,0.9772113715002725,0.014421238025928873,0.988474358974359,0.9998358558572202,1.4407051282051282,0.8653846153846154,0.004617644641683103,0.0,0.004029726965754366,0.0008442532453607535,0.19542284309864044,0.9827817678451538,0.19547734409570694,-4.178285598754883e-05,0.0002614147961139679,-0.00021963446084091878,0.0006810864423341782,0.0026418712070466898,0.40370370370370373,-0.001207541674375534,28.900410128388017,0.4076388888888889,0.0,321.0,0,1344,0.0005341880341880342,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VB_BF16_LOW,positive,0.9,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,21600,0.9622641509433962,0.02148452892033359,0.9807692307692307,0.9998358558572202,1.2115384615384615,0.8141025641025641,0.003883136094674556,0.0,0.004905248398843379,0.0012945462276439243,0.2788427025079727,0.9671013951301575,0.2789868116378784,-7.636845111846924e-05,0.00047923624515533447,-0.0002790951858544639,0.0008571401553509152,0.0035494923591853924,0.399537037037037,-0.003695085644721985,48.3849756097561,0.34680555555555553,0.0,297.0,0,264,0.0002670940170940171,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
