arm,layer,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,14,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999825708526167,0.0,0.0,0.0,1.0,,0.0021446424140944675,0.3856319934129715,0.9422160089015961,0.3856319934129715,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,248.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,15,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990987476826,0.0,0.0,0.0,1.0,,0.0008185961273645696,0.24100950360298157,0.9736638069152832,0.24100950360298157,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,363.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,15,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990987476826,0.0,0.0,0.0,1.0,,0.0012655714234086997,0.352523609995842,0.9480444490909576,0.352523609995842,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,330.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,15,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990987476826,0.0,0.0,0.0,1.0,,0.002019700226023588,0.4593591094017029,0.9204389452934265,0.4593591094017029,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,272.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,16,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999903655555166,0.0,0.0,0.0,1.0,,0.0008458046543802326,0.1949498951435089,0.9827901422977448,0.1949498951435089,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,357.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,16,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999903655555166,0.0,0.0,0.0,1.0,,0.001306599479886516,0.28412385284900665,0.9650280475616455,0.28412385284900665,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,319.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,16,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999903655555166,0.0,0.0,0.0,1.0,,0.0021361789623583075,0.36057430505752563,0.9474436342716217,0.36057430505752563,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,259.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,17,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999897402004486,0.0,0.0,0.0,1.0,,0.0008408049330861039,0.14778384566307068,0.9895994067192078,0.14778384566307068,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,255.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,17,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999897402004486,0.0,0.0,0.0,1.0,,0.0013418119786084192,0.1996692270040512,0.9816428124904633,0.1996692270040512,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,245.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,17,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999897402004486,0.0,0.0,0.0,1.0,,0.002260783104916073,0.2555399239063263,0.9712530970573425,0.2555399239063263,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,202.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
