arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R1,11,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9791116920111225,0.009336879143222121,0.9632626162116399,0.9894456129807693,0.999804071392842,0.00214385986328125,0.49609375,0.548828125,0.9791116920111225,,0.0,0,0,0.0018420240063344194,0.002539687352876167,0.16619302332401276,0.9881052374839783,0.16614870727062225,2.5257468223571777e-05,0.0003160722553730011,0.0004589065909385681,0.0010588592103592106,0.0030916371286154798,0.5277777777777778,0.00023795291781425476,9.421091445427729,9.421091445427729,0.5972222222222222,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,12,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9750009299823446,0.014282596544858195,0.953116128718898,0.9873422475961539,0.9998321870226767,0.00257110595703125,0.564453125,0.658203125,0.9750009299823446,,0.0,0,0,0.0017939289491288321,0.002981219165538519,0.13418613374233246,0.9921765923500061,0.1339883729815483,1.8194317817687988e-05,0.0002684071660041809,0.0003644227981567383,0.001093929755210154,0.005297799698765369,0.5833333333333334,0.0009157322347164154,50.33067158067158,50.33067158067158,0.6041666666666666,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,13,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9790381327584925,0.014680837366197741,0.9597292833601602,0.9894080528846154,0.9997024533513458,0.0021514892578125,0.48828125,0.55078125,0.9790381327584925,,0.0,0,0,0.0017646420694665639,0.0025609893383932996,0.17703211307525635,0.9863114356994629,0.17700379341840744,-4.842877388000488e-06,0.00025685690343379974,0.0002725079655647278,0.0007995259178840321,0.0021506320141732468,0.4791666666666667,-6.079673767089844e-06,1.2553846153846153,1.2553846153846153,0.4930555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,14,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9766872076620388,0.008061277939395595,0.9631539958381262,0.9882061298076923,0.9998105284515066,0.0023956298828125,0.53515625,0.61328125,0.9766872076620388,,0.0,0,0,0.001631054214635811,0.0026788959598565846,0.20659168809652328,0.983988881111145,0.20659282058477402,1.4341436326503754e-05,0.0003563538193702698,0.00039259642362594606,0.0009397610942161749,0.0033574939333166362,0.5208333333333334,0.00025779008865356445,17.97519319436327,17.97519319436327,0.5555555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,15,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9739027392011493,0.013712641145666504,0.9553681935620014,0.9867788461538461,0.9997938134758361,0.002685546875,0.580078125,0.6875,0.9739027392011493,,0.0,0,0,0.0016562620474651403,0.0030386754782330753,0.23342498391866684,0.9777572751045227,0.23342520743608475,4.8883259296417236e-05,0.0004412606358528137,0.0008392632007598877,0.0008609243053704503,0.003548580048845124,0.5902777777777778,-0.00024563074111938477,-5.024843773814967,5.024843773814967,0.3819444444444444,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,16,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9737563940988954,0.013375851298304209,0.9546934716075212,0.9867037259615384,0.9997540609260402,0.0027008056640625,0.58203125,0.69140625,0.9737563940988954,,0.0,0,0,0.0016627490551838423,0.003101508595695991,0.16778424382209778,0.9878918528556824,0.16769471764564514,1.3709068298339844e-06,0.0003041960299015045,0.00047767311334609983,0.0010187890635220754,0.003636845148666824,0.5,0.0004468783736228943,325.9728260869565,325.9728260869565,0.5555555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,17,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9769807678027772,0.011899699138998132,0.9553538972683852,0.9883563701923077,0.9997910841082042,0.0023651123046875,0.53515625,0.60546875,0.9769807678027772,,0.0,0,0,0.0018375250511544735,0.002875672816656204,0.09430308640003204,0.996506929397583,0.09434860572218895,3.79243865609169e-05,0.00033366959542036057,0.000565638393163681,0.0015397175653838573,0.010571285358571408,0.5763888888888888,0.0015825927257537842,41.730212912256576,41.730212912256576,0.7777777777777778,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,18,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9755871358771746,0.01714557308079523,0.954887411669108,0.9876427283653846,0.9995414073896638,0.00251007080078125,0.55859375,0.642578125,0.9755871358771746,,0.0,0,0,0.0019240415058883885,0.0031451125665953477,0.3192116320133209,0.9611279666423798,0.31923356652259827,5.723536014556885e-05,0.0017217285931110382,0.0023274660110473634,0.0023801272876864234,0.00845410637264561,0.5208333333333334,0.000921107828617096,16.09333506899245,16.09333506899245,0.6736111111111112,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,19,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9771275805732957,0.013800039982787227,0.9537397729473188,0.9884314903846154,0.9995959631354222,0.002349853515625,0.533203125,0.6015625,0.9771275805732957,,0.0,0,0,0.0017894356227208205,0.0026905863961679236,0.1501634269952774,0.9925218820571899,0.15037209540605545,5.0202012062072754e-05,0.0004348456859588623,0.0006375543773174286,0.0017143426367768953,0.00872020504917092,0.5694444444444444,0.0008204840123653412,16.343647966755714,16.343647966755714,0.6805555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,2,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9653059825107515,0.022378015667364193,0.9342230540202665,0.9823467548076923,0.9998037451958659,0.0035858154296875,0.697265625,0.91796875,0.9653059825107515,,0.0,0,0,0.001511628849490534,0.003936556024727833,0.09449021145701408,0.9961673021316528,0.09361639991402626,0.00015484727919101715,0.0012989602982997894,0.0033630192279815673,0.00461742442752939,0.022112060560898306,0.6805555555555556,0.003862489014863968,24.943861041944835,24.943861041944835,0.6805555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,20,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9668304456041943,0.02740641345344852,0.9352071982777442,0.9831355168269231,0.999716246174876,0.00342559814453125,0.6875,0.876953125,0.9668304456041943,,0.0,0,0,0.0017665611843413033,0.004188180029146735,0.06309779733419418,0.9982670843601227,0.06276556476950645,5.409214645624161e-05,0.0002690134570002556,0.0005140163004398346,0.002056826020897429,0.03734097853949132,0.5972222222222222,0.006186390295624733,114.36762452437114,114.36762452437114,0.9305555555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,21,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9725865115321921,0.02149692880472942,0.9412393690533862,0.9861027644230769,0.999528808468021,0.0028228759765625,0.58984375,0.72265625,0.9725865115321921,,0.0,0,0,0.001788848840842198,0.0035150552445328935,0.10705877467989922,0.9951399266719818,0.10695641115307808,0.00011494755744934082,0.0005458497907966375,0.0008019537664949894,0.0028901428847838122,0.0232726569099298,0.5972222222222222,0.004511389881372452,39.247374902774176,39.247374902774176,0.8402777777777778,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,22,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9771275805732957,0.016937988887171462,0.9392956890930542,0.9884314903846154,0.999743880192687,0.002349853515625,0.52734375,0.6015625,0.9771275805732957,,0.0,0,0,0.001947465792261445,0.0031102881329068076,0.2631903886795044,0.971127837896347,0.26304690539836884,-1.689046621322632e-05,0.0005342923104763031,0.0006582513451576233,0.0011287191227676348,0.0040086336564044405,0.4791666666666667,0.00030481070280075073,-18.046316718129688,18.046316718129688,0.5625,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,23,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9733175214942188,0.01807271693610224,0.9430105732570183,0.9864783653846154,0.9997698152970182,0.00274658203125,0.595703125,0.703125,0.9733175214942188,,0.0,0,0,0.0017077393594301517,0.003239976448459383,0.19545050710439682,0.9826380908489227,0.1957385465502739,6.288290023803711e-05,0.0007632635533809662,0.0013692580163478852,0.0019159080741257373,0.007822687171526404,0.5486111111111112,0.0005490444600582123,8.731220379146919,8.731220379146919,0.5902777777777778,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,24,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9803629872061886,0.01289600254625034,0.9589650403307084,0.9900841346153846,0.9996502777259215,0.00201416015625,0.46875,0.515625,0.9803629872061886,,0.0,0,0,0.0021475877848179696,0.0028632269678228813,0.24805843085050583,0.9806366562843323,0.24836669862270355,9.735673666000366e-05,0.0006711147725582123,0.0015687907114624977,0.0012852865521228783,0.006372268989514464,0.5902777777777778,0.0015164539217948914,15.576260809673222,15.576260809673222,0.7013888888888888,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
