arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R4,25,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9912493951035595,0.007292069351392927,0.9747811897344608,0.99560546875,0.999989219842436,0.00089263916015625,0.22265625,0.228515625,0.996999699969997,0.9747079574719919,90.0,220,0,0.0017476853371679994,0.0008784097625515969,0.13073309510946274,0.9932951629161835,0.13068559765815735,-1.3161450624465942e-05,0.00015548709779977798,0.0001966714859008789,0.000692987216013255,0.002992830226817495,0.4236111111111111,0.00048409588634967804,-36.7813472969148,36.7813472969148,0.7694444444444445,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,40,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9913983348096571,0.00625361197056018,0.9755138383913333,0.9956805889423077,0.9999891047959575,0.00087738037109375,0.21875,0.224609375,0.996999699969997,0.9741954619605517,88.0,215,0,0.0017514000664919124,0.0008918977074283327,0.10130621492862701,0.9953536987304688,0.10136650502681732,-4.916451871395111e-06,0.00015072524547576904,0.00021589696407318116,0.000763221222433617,0.003906324188347475,0.45694444444444443,0.0007107853889465332,-144.57283576434932,144.57283576434932,0.8375,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,48,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9911749308204323,0.005808226430077168,0.9784498773872334,0.9955679086538461,0.9999894973544334,0.0009002685546875,0.22265625,0.23046875,0.996999699969997,0.973536936108574,88.0,206,0,0.0017532013033044087,0.000834165967140267,0.08729609474539757,0.9968863427639008,0.08737214282155037,-4.285946488380432e-06,0.00012890994548797607,0.00022502020001411439,0.0008905234677836159,0.004081048365435911,0.4513888888888889,0.001083560287952423,-252.81703607127335,252.81703607127335,0.8875,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4L,0,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.9466968914257818,0.04310280391127763,0.8649939615966173,0.9726186899038461,0.9995807790240094,0.00556182861328125,0.859375,1.423828125,0.9796267380474385,0.9382644146767618,119.0,231,0,0.0015495728401329453,0.007519408589779893,0.2367335632443428,0.9774675667285919,0.23552346974611282,-4.875659942626953e-05,0.0006779655814170837,0.0007761776447296143,0.001513544477098503,0.008888673221220772,0.45694444444444443,-0.0010569915175437927,21.678942542787286,21.678942542787286,0.39305555555555555,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,1,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.9506190929738443,0.035130725221095394,0.8664974818638889,0.9746844951923077,0.9996601735319248,0.0051422119140625,0.83203125,1.31640625,0.9805839714959546,0.9428613153898361,108.5,249,0,0.0015789507689272912,0.006935444050050147,0.21586426347494125,0.9806340336799622,0.21593793481588364,-3.878772258758545e-05,0.0006013810634613037,0.0006558895111083984,0.0013961500236853628,0.010023963205052737,0.44722222222222224,-0.00026248395442962646,6.767191701882443,6.767191701882443,0.4861111111111111,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,10,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.9553466509988249,0.02636612706965058,0.898717027101817,0.9771634615384616,0.9996324616447819,0.004638671875,0.8046875,1.1875,0.9834612232734858,0.9479075212174422,92.0,240,0,0.0017019417356714027,0.0063290005443376336,0.1552382856607437,0.9898700714111328,0.15519648790359497,-2.506561577320099e-05,0.000523730181157589,0.0004513189196586609,0.0018341609090171051,0.011729480290692075,0.4583333333333333,0.0011952966451644897,-47.686705803670954,47.686705803670954,0.6652777777777777,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,25,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.9557057359176422,0.02405323898318079,0.9057572302083253,0.9773512620192307,0.9995963383481037,0.00460052490234375,0.8046875,1.177734375,0.9833134684147795,0.9491196629212881,89.0,221,0,0.0017476853371679994,0.006592054348559673,0.1307498663663864,0.9932919442653656,0.13068559765815735,2.1869316697120667e-05,0.000542791560292244,0.0007717281579971314,0.002399021149039389,0.013075130287496734,0.5208333333333334,0.002881798893213272,131.77361383187122,131.77361383187122,0.7597222222222222,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,40,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.956496178718401,0.02164657316123586,0.9122246926157228,0.9777644230769231,0.9995236500458766,0.0045166015625,0.80078125,1.15625,0.9813946565453598,0.9496906034707069,87.0,214,0,0.0017514000664919124,0.006533076117098009,0.10161375254392624,0.9952902793884277,0.10136650502681732,2.759695053100586e-05,0.0004905774258077145,0.0009056031703948975,0.0028881123108551324,0.020804929432221057,0.5430555555555555,0.004298646003007889,155.76525377969762,155.76525377969762,0.8388888888888889,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R4L,48,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.956208670095518,0.020939466167037568,0.9185081215636096,0.9776141826923077,0.9994583761494529,0.004547119140625,0.8046875,1.1640625,0.9784498773872334,0.9500476085841939,89.0,199,0,0.0017532013033044087,0.006670322937038425,0.08731817454099655,0.9968878030776978,0.08737214282155037,3.619678318500519e-05,0.000573853962123394,0.0010413482785224914,0.003964396203785459,0.02354892591205916,0.5513888888888889,0.005937563255429268,164.03566098903926,164.03566098903926,0.8944444444444445,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R5,0,0.9,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,720,0.9655961609449981,0.019464690764014247,0.9279830668384743,0.9824969951923077,0.9997214774792709,0.0035552978515625,0.6953125,0.91015625,0.9686483288967761,0.987162263024332,119.0,239,0,0.0015495728401329453,0.004007674238280652,0.2354636713862419,0.9772972762584686,0.23552346974611282,1.750106457620859e-05,0.0005984827876091003,0.001172279566526413,0.001378364876467998,0.007911050836947634,0.5222222222222223,-0.0006641596555709839,-37.94967172876215,37.94967172876215,0.4166666666666667,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
