metric,arm,value
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.2429850947470734
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.15094914680620633
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.1536678136369907
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.1089625863444268
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.10988333703244652
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.11655468360600597
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.14961356300335085
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.1717139489366194
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.1406569754082379
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.15155440995471064
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.24174979062375734
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.1508313156248485
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.15440059564807213
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.10996194803552485
mean_abs_pixel_diff,SPARSE-FP4-ROUTE16,0.10997383474511185
