comparison,sparsity,relative_reduction
E_to_F8,0.8,-0.004553749242309354
E_to_F8,0.8,-0.004529143090435786
E_to_F8,0.8,-0.004525338451968597
E_to_F8,0.8,-0.004522596578004058
E_to_F8,0.8,-0.004519323878640545
E_to_F8,0.8,-0.004518141611324469
E_to_F8,0.8,-0.004509933897592499
E_to_F8,0.8,-0.004500719371109175
E_to_F8,0.8,-0.00450030548646413
E_to_F8,0.8,-0.0044904913776619435
E_to_F8,0.8,-0.004474460339607346
E_to_F8,0.8,-0.004463804528668482
E_to_F8,0.8,-0.004449130176815276
E_to_F8,0.8,-0.004433672087208146
E_to_F8,0.8,-0.004422344318368717
E_to_F8,0.8,-0.004422344318368717
E_to_F8,0.8,-0.004403672553796515
E_to_F8,0.8,-0.004402404367766766
E_to_F8,0.8,-0.004401279062649256
E_to_F8,0.8,-0.004400072204455066
E_to_F8,0.8,-0.004363343029651177
E_to_F8,0.8,-0.004362140653675916
E_to_F8,0.8,-0.004359650089742084
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.004351058763924935
E_to_F8,0.8,-0.00434662402496464
E_to_F8,0.8,-0.00434662402496464
E_to_F8,0.8,-0.004342156822006877
E_to_F8,0.8,-0.004338417089935166
E_to_F8,0.8,-0.004335340266845421
E_to_F8,0.8,-0.004327342588633554
E_to_F8,0.8,-0.0043191586482043045
E_to_F8,0.8,-0.004317090465983646
E_to_F8,0.8,-0.004305895717142205
E_to_F8,0.8,-0.004305421667253268
E_to_F8,0.8,-0.004304947467400088
E_to_F8,0.8,-0.004302540904916385
E_to_F8,0.8,-0.004302350575177119
E_to_F8,0.8,-0.004301005576558803
E_to_F8,0.8,-0.004296158725431531
E_to_F8,0.8,-0.004294034313293997
E_to_F8,0.8,-0.0042913413361417175
E_to_F8,0.8,-0.004290868705768459
E_to_F8,0.8,-0.0042875721230749815
E_to_F8,0.8,-0.004276331466725634
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004275672573279937
E_to_F8,0.8,-0.004269776541861767
E_to_F8,0.8,-0.004263909900225539
E_to_F8,0.8,-0.004262338068392049
E_to_F8,0.8,-0.004254845571626259
E_to_F8,0.8,-0.004248476984464353
E_to_F8,0.8,-0.00423979215978534
E_to_F8,0.8,-0.004231455850797429
E_to_F8,0.8,-0.004226299174979715
E_to_F8,0.8,-0.004226299174979715
E_to_F8,0.8,-0.004212702641797638
E_to_F8,0.8,-0.0042067333126259345
E_to_F8,0.8,-0.004202064786669769
E_to_F8,0.8,-0.004196871391867323
E_to_F8,0.8,-0.004181958149179416
E_to_F8,0.8,-0.004169204274541298
E_to_F8,0.8,-0.004169204274541298
E_to_F8,0.8,-0.004167128363309107
E_to_F8,0.8,-0.004157381334371088
E_to_F8,0.8,-0.004150113738914609
E_to_F8,0.8,-0.004147458872521902
E_to_F8,0.8,-0.004147265561277225
E_to_F8,0.8,-0.004144569277513797
E_to_F8,0.8,-0.004144569277513797
E_to_F8,0.8,-0.004143927314559438
E_to_F8,0.8,-0.004143927314559438
E_to_F8,0.8,-0.004142358032659
E_to_F8,0.8,-0.0041410943969133265
E_to_F8,0.8,-0.004138311641412727
E_to_F8,0.8,-0.00411629655398875
E_to_F8,0.8,-0.004113170520188185
E_to_F8,0.8,-0.004112760264524124
E_to_F8,0.8,-0.004112760264524124
E_to_F8,0.8,-0.0041097599104188655
E_to_F8,0.8,-0.00410850059047416
E_to_F8,0.8,-0.004101938393401845
E_to_F8,0.8,-0.004098223402624399
E_to_F8,0.8,-0.00409438984900328
E_to_F8,0.8,-0.004088269652312218
E_to_F8,0.8,-0.004072957308405996
E_to_F8,0.8,-0.004071559206903281
E_to_F8,0.8,-0.0040696021595541775
E_to_F8,0.8,-0.004069571617760834
E_to_F8,0.8,-0.004064445128745847
E_to_F8,0.8,-0.004063239786741898
E_to_F8,0.8,-0.004061624804104796
E_to_F8,0.8,-0.004055981276342229
E_to_F8,0.8,-0.004041862470571833
E_to_F8,0.8,-0.004032187001274221
E_to_F8,0.8,-0.0040278150670836985
E_to_F8,0.8,-0.0040278150670836985
E_to_F8,0.8,-0.004027646328509858
E_to_F8,0.8,-0.00402700744354552
E_to_F8,0.8,-0.004023856268784991
E_to_F8,0.8,-0.004018936744608483
E_to_F8,0.8,-0.0040148597774956885
E_to_F8,0.8,-0.004008463700484459
E_to_F8,0.8,-0.003998115787006973
E_to_F8,0.8,-0.003988153241931991
E_to_F8,0.8,-0.003987100172200067
E_to_F8,0.8,-0.003987100172200067
E_to_F8,0.8,-0.003983971116800497
E_to_F8,0.8,-0.003973754847302911
E_to_F8,0.8,-0.003970488712763054
E_to_F8,0.8,-0.003965547561513425
E_to_F8,0.8,-0.003962468715734818
E_to_F8,0.8,-0.0039612913868946765
E_to_F8,0.8,-0.00395539626495464
E_to_F8,0.8,-0.003955028848467664
E_to_F8,0.8,-0.003948775389694602
E_to_F8,0.8,-0.003938884972295697
E_to_F8,0.8,-0.003935071958999348
E_to_F8,0.8,-0.003932320549585723
E_to_F8,0.8,-0.00393010050275188
E_to_F8,0.8,-0.0039264664329362615
E_to_F8,0.8,-0.003925854998999798
E_to_F8,0.8,-0.0039011163016716174
E_to_F8,0.8,-0.0038964903270685388
E_to_F8,0.8,-0.003893392679020142
E_to_F8,0.8,-0.003892004292603786
E_to_F8,0.8,-0.003892004292603786
E_to_F8,0.8,-0.0038811508899968027
E_to_F8,0.8,-0.0038811508899968027
E_to_F8,0.8,-0.003880377980370856
E_to_F8,0.8,-0.0038764372523534393
E_to_F8,0.8,-0.003871686898938508
E_to_F8,0.8,-0.003870815034003764
E_to_F8,0.8,-0.003870582334087168
E_to_F8,0.8,-0.0038696581755293226
E_to_F8,0.8,-0.00386783890062808
E_to_F8,0.8,-0.003863786939286813
E_to_F8,0.8,-0.003863708800703224
E_to_F8,0.8,-0.003854035066229619
E_to_F8,0.8,-0.0038492255407927604
E_to_F8,0.8,-0.0038491385267017154
E_to_F8,0.8,-0.0038457897642700726
E_to_F8,0.8,-0.0038440625341015252
E_to_F8,0.8,-0.0038280266047818795
E_to_F8,0.8,-0.0038253772276686687
E_to_F8,0.8,-0.0038239096212061984
E_to_F8,0.8,-0.003821832828801257
E_to_F8,0.8,-0.0038136661285354105
E_to_F8,0.8,-0.003812993403725315
E_to_F8,0.8,-0.003810715446864093
E_to_F8,0.8,-0.003801792183731925
E_to_F8,0.8,-0.003787511014522703
E_to_F8,0.8,-0.0037812216289739072
E_to_F8,0.8,-0.003778310559163154
E_to_F8,0.8,-0.003778181871324274
E_to_F8,0.8,-0.0037741881679107282
E_to_F8,0.8,-0.003763158411507851
E_to_F8,0.8,-0.003758002700784407
E_to_F8,0.8,-0.00372797515340402
E_to_F8,0.8,-0.003727247953668155
E_to_F8,0.8,-0.00372662486897164
E_to_F8,0.8,-0.0037264900301666078
E_to_F8,0.8,-0.0037227386666162923
E_to_F8,0.8,-0.0037227386666162923
E_to_F8,0.8,-0.0037134758426152496
E_to_F8,0.8,-0.003708316117889413
E_to_F8,0.8,-0.003706482199131544
E_to_F8,0.8,-0.003702085475536559
E_to_F8,0.8,-0.003702085475536559
E_to_F8,0.8,-0.0037002789053759973
E_to_F8,0.8,-0.0036975800390801144
E_to_F8,0.8,-0.0036946929532372928
E_to_F8,0.8,-0.0036905801975388995
E_to_F8,0.8,-0.0036905801975388995
E_to_F8,0.8,-0.0036835025073429692
E_to_F8,0.8,-0.003682457094068174
E_to_F8,0.8,-0.0036728453715697057
E_to_F8,0.8,-0.0036722043963213946
E_to_F8,0.8,-0.0036708342485678655
E_to_F8,0.8,-0.003670782220916825
E_to_F8,0.8,-0.0036703514886012186
E_to_F8,0.8,-0.003662792463377213
E_to_F8,0.8,-0.003657084039752677
E_to_F8,0.8,-0.003648817142521955
E_to_F8,0.8,-0.003647661349258086
